Symbol,Time,ESG,Governance,Environment,Social,Close
PFE,1564610400,61.02,68.74,69.61,51.11,36.290321350097656
PFE,1567288800,61.02,68.74,69.61,51.11
PFE,1569880800,61.02,68.74,69.61,51.11,33.61479949951172
PFE,1572562800,61.02,68.74,69.61,51.11,36.42314910888672
PFE,1575154800,32.92,13.13,2.24,17.55
PFE,1577833200,32.92,13.13,2.24,17.55
PFE,1580511600,32.92,13.13,2.24,17.55
PFE,1583017200,32.92,13.13,2.24,17.55
PFE,1585692000,,,,,30.123340606689453
PFE,1588284000,,,,,35.71157455444336
PFE,1590962400,,,,,33.64326477050781
PFE,1593554400,29.65,11.68,2.0,15.97,32.01138687133789
PFE,1596232800,29.65,11.68,2.0,15.97
PFE,1598911200,,,,,34.99051284790039
PFE,1601503200,29.65,11.68,2.0,15.97,34.50664138793945
PFE,1604185200,,,,
PFE,1606777200,,,,,39.40999984741211
PFE,1609455600,30.01,12.18,2.0,15.84
PFE,1612134000,30.01,12.18,2.0,15.84,35.79999923706055
PFE,1614553200,25.26,10.44,1.75,13.07,33.689998626708984
PFE,1617228000,,,,,36.29999923706055
PFE,1619820000,24.55,9.65,1.82,13.08
PFE,1622498400,,,,,38.5
PFE,1625090400,,,,,39.560001373291016
PFE,1627768800,,,,
PFE,1630447200,24.53,9.63,1.82,13.07,46.040000915527344
PFE,1633039200,,,,,42.93000030517578
PFE,1635721200,,,,,43.63999938964844
PFE,1638313200,,,,,54.68000030517578
PFE,1640991600,,,,
PFE,1643670000,24.6,9.53,1.52,13.54,53.06999969482422
PFE,1646089200,,,,,45.75
PFE,1648764000,,,,,51.56999969482422
PFE,1651356000,25.17,9.66,2.83,12.68
PFE,1654034400,,,,,52.369998931884766
PFE,1656626400,,,,,52.310001373291016
PFE,1659304800,25.34,9.66,2.83,12.85
TSLA,1504216800,53.5,53.73,62.08,40.45,23.69333267211914
TSLA,1506808800,54.15,48.53,64.53,43.26
TSLA,1509490800,54.15,48.53,64.53,43.26,21.405332565307617
TSLA,1512082800,54.15,48.53,64.53,43.25,20.435333251953125
TSLA,1514761200,54.15,48.53,64.53,43.25
TSLA,1517439600,54.15,48.53,64.53,43.25,23.28333282470703
TSLA,1519858800,54.15,48.53,64.53,43.25,22.062000274658203
TSLA,1522533600,54.09,48.53,64.4,43.25
TSLA,1525125600,61.33,60.78,70.07,48.69,19.994667053222656
TSLA,1527804000,61.33,60.78,70.07,48.69,19.454666137695312
TSLA,1530396000,61.33,60.78,70.07,48.69
TSLA,1533074400,61.33,60.78,70.07,48.69,20.055999755859375
TSLA,1535752800,60.53,57.55,70.07,48.69
TSLA,1538344800,61.0,59.45,70.07,48.69,20.713333129882812
TSLA,1541026800,59.43,53.15,70.07,48.69,22.95199966430664
TSLA,1543618800,59.43,53.15,70.07,48.69
TSLA,1546297200,59.43,53.15,70.07,48.69
TSLA,1548975600,59.88,54.95,70.07,48.69,20.81399917602539
TSLA,1551394800,59.88,54.95,70.07,48.69,19.652666091918945
TSLA,1554069600,59.88,54.95,70.07,48.69,19.278667449951172
TSLA,1556661600,59.88,54.95,70.07,48.69,15.600666999816895
TSLA,1559340000,58.5,46.95,70.49,50.14
TSLA,1561932000,58.5,46.95,70.49,50.14,15.14466667175293
TSLA,1564610400,58.5,46.95,70.49,50.14,15.59000015258789
TSLA,1567288800,58.5,46.95,70.49,50.14
TSLA,1569880800,58.5,46.95,70.49,50.14,16.312667846679688
TSLA,1572562800,58.5,46.95,70.49,50.14,20.887332916259766
TSLA,1575154800,30.78,10.63,2.79,17.37
TSLA,1577833200,31.37,11.22,2.79,17.37
TSLA,1580511600,31.37,11.22,2.79,17.37
TSLA,1583017200,31.37,11.22,2.79,17.37
TSLA,1585692000,,,,,32.104000091552734
TSLA,1588284000,,,,,46.75466537475586
TSLA,1590962400,,,,,59.87333297729492
TSLA,1593554400,31.07,11.01,2.75,17.31,74.64199829101562
TSLA,1596232800,31.07,11.0,2.75,17.31
TSLA,1598911200,,,,,158.35000610351562
TSLA,1601503200,31.09,11.03,2.75,17.31,149.3866729736328
TSLA,1604185200,,,,
TSLA,1606777200,,,,,194.9199981689453
TSLA,1609455600,31.09,11.03,2.75,17.31
TSLA,1612134000,31.09,11.03,2.75,17.31,279.9366760253906
TSLA,1614553200,31.29,11.03,2.95,17.31,239.47666931152344
TSLA,1617228000,,,,,220.5833282470703
TSLA,1619820000,31.29,11.03,2.95,17.31
TSLA,1622498400,,,,,207.96665954589844
TSLA,1625090400,,,,,225.97332763671875
TSLA,1627768800,,,,
TSLA,1630447200,30.46,10.2,2.95,17.31,244.69667053222656
TSLA,1633039200,,,,,258.40667724609375
TSLA,1635721200,,,,,402.86334228515625
TSLA,1638313200,,,,,365.0
TSLA,1640991600,,,,
TSLA,1643670000,28.54,9.61,2.78,16.16,310.4166564941406
TSLA,1646089200,,,,,288.1233215332031
TSLA,1648764000,,,,,361.5299987792969
TSLA,1651356000,28.54,9.61,2.78,16.16
TSLA,1654034400,,,,,246.7899932861328
TSLA,1656626400,,,,,227.26333618164062
TSLA,1659304800,28.54,9.61,2.78,16.16
XOM,1504216800,64.15,59.06,60.0,70.96,76.56999969482422
XOM,1506808800,62.91,58.42,56.18,71.61
XOM,1509490800,62.91,58.42,56.18,71.61,83.87000274658203
XOM,1512082800,62.9,58.42,56.14,71.61,83.45999908447266
XOM,1514761200,62.9,58.42,56.14,71.61
XOM,1517439600,62.61,58.42,55.32,71.61,89.06999969482422
XOM,1519858800,62.61,58.42,55.32,71.61,75.19999694824219
XOM,1522533600,64.11,58.42,55.32,75.36
XOM,1525125600,64.11,58.42,55.32,75.36,76.94999694824219
XOM,1527804000,64.11,58.42,55.32,75.36,81.83000183105469
XOM,1530396000,64.11,58.42,55.32,75.36
XOM,1533074400,64.11,58.42,55.32,75.36,80.38999938964844
XOM,1535752800,63.97,58.42,54.9,75.36
XOM,1538344800,63.97,58.42,54.9,75.36,85.80999755859375
XOM,1541026800,63.97,58.42,54.9,75.36,80.66999816894531
XOM,1543618800,63.97,58.42,54.9,75.36
XOM,1546297200,63.97,58.42,54.9,75.36
XOM,1548975600,63.97,58.42,54.9,75.36,75.91999816894531
XOM,1551394800,63.97,58.42,54.9,75.36,80.0
XOM,1554069600,63.97,58.42,54.9,75.36,81.7300033569336
XOM,1556661600,63.97,58.42,54.9,75.36,78.66999816894531
XOM,1559340000,63.97,58.42,54.9,75.36
XOM,1561932000,63.97,58.42,54.9,75.36,76.55999755859375
XOM,1564610400,63.97,58.42,54.9,75.36,72.45999908447266
XOM,1567288800,63.97,58.42,54.9,75.36
XOM,1569880800,63.97,58.42,54.9,75.36,68.94999694824219
XOM,1572562800,63.65,57.14,54.9,75.36,69.5999984741211
XOM,1575154800,37.46,8.65,18.64,10.16
XOM,1577833200,37.46,8.65,18.64,10.16
XOM,1580511600,34.56,8.27,17.81,8.47
XOM,1583017200,33.92,8.03,16.98,8.91
XOM,1585692000,,,,,37.529998779296875
XOM,1588284000,,,,,43.13999938964844
XOM,1590962400,,,,,46.279998779296875
XOM,1593554400,32.23,7.73,15.59,8.91,43.709999084472656
XOM,1596232800,32.23,7.73,15.59,8.91
XOM,1598911200,,,,,39.43000030517578
XOM,1601503200,32.33,7.73,15.69,8.91,33.130001068115234
XOM,1604185200,,,,
XOM,1606777200,,,,,38.5
XOM,1609455600,32.27,7.67,15.69,8.91
XOM,1612134000,32.27,7.67,15.69,8.91,44.91999816894531
XOM,1614553200,35.11,8.24,16.29,10.57,56.400001525878906
XOM,1617228000,,,,,57.38999938964844
XOM,1619820000,34.89,8.21,16.11,10.57
XOM,1622498400,,,,,60.459999084472656
XOM,1625090400,,,,,63.2599983215332
XOM,1627768800,,,,
XOM,1630447200,35.77,8.26,16.94,10.57,53.77000045776367
XOM,1633039200,,,,,60.93000030517578
XOM,1635721200,,,,,65.62999725341797
XOM,1638313200,,,,,59.790000915527344
XOM,1640991600,,,,
XOM,1643670000,37.86,8.14,19.19,10.54,80.83000183105469
XOM,1646089200,,,,,79.16999816894531
XOM,1648764000,,,,,83.12000274658203
XOM,1651356000,36.46,8.14,18.51,9.82
XOM,1654034400,,,,,97.83999633789062
XOM,1656626400,,,,,87.55000305175781
XOM,1659304800,36.47,8.1,18.55,9.82
